JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51298.644256089814	20913.491782	6.537175	C98
51306.634142269846	20904.439862	8.912825	C98
51609.788575179875	20846.562122	5.547767	C98
51623.78968045022	20855.392917	12.58865	C98
51691.603563779965	20807.077207	11.78975	C98
52322.81698282994	20681.202882	3.446792	C98
52368.693576919846	20685.892466	4.004281	C98
52450.56740794005	20722.036016	4.364854	C98
52459.55515663	20752.344228	13.062668	C98
52463.50744860014	20737.740340	9.213452	C98
52466.54978484986	20704.570646	13.60074	C98
52467.492206890136	20723.294963	6.262100	C98
53101.66420882987	20788.232004	7.140967	C98
53105.76646712981	20797.509825	5.642512	C98
53414.826507410035	20831.151302	3.289331	C98
53489.69316891022	20845.708319	4.521219	C98
53782.832105800044	20863.330490	3.406809	C98
53799.751138349995	20876.648425	12.33777	C98
54132.83910795022	20900.002702	4.980083	C98
54810.85939892009	20890.708169	5.397605	C07
54812.85945277987	20917.320839	4.380766	C07
54823.84797006985	20907.950602	3.135517	C07
54831.85531478003	20909.732661	3.441129	C07
54840.808948909864	20912.735382	6.431062	C07
55013.52762898989	20920.082486	4.443560	C07
55040.48247691989	20906.150935	5.441632	C07
55204.84572529979	20862.903257	2.871821	C07
55231.845826820005	20857.732843	5.967051	C07
55259.76700943988	20838.537919	2.900767	C07
55290.79331166996	20808.243419	2.846333	C07
55315.673704749905	20796.714238	3.961159	C07
55334.65313478978	20788.695995	5.045081	C07
55365.574356609955	20747.952069	3.477430	C07
55388.51658276981	20711.635039	3.372338	C07
55391.511438379996	20703.172113	5.059747	C07
55404.47159727989	20694.027373	5.519967	C07
55596.76111572981	20594.027172	3.042193	C07
55614.72663138993	20596.742159	3.064468	C07
55643.75393392984	20615.665767	4.099699	C07
55669.60443388997	20613.483143	4.675754	C07
55764.47111079004	20624.123850	4.121843	C07
55961.76006051991	20680.073786	3.804357	C07
56079.64932949981	20717.532298	7.643962	C07
