JD–2400000	VRad(m s-1)	sVRAD(m s-1)	group
53287.13674473	5518.84831998586	1.29254098833059	H03
53287.13779241	5519.640672738111	1.36751885143314	H03
53287.13884553	5517.40753131543	1.31704504118691	H03
53287.13990016	5524.38035544785	1.38739828817257	H03
53287.14095363	5522.223949471359	1.32885237077753	H03
53287.14201231	5529.635384821199	1.39312504831567	H03
53287.14306775	5525.14117388669	1.40875387879491	H03
53287.14412376	5524.358034284181	1.3598994831046	H03
53287.14517688	5516.10991304435	1.40661319786528	H03
53287.14622827	5523.6918996165605	1.37169346547922	H03
53296.17764955	5520.614118922231	1.07240349060555	H03
53296.17870903	5525.26067115772	1.05648789537538	H03
53296.17976828	5518.56369394599	1.09622516721724	H03
53296.18082799	5515.2020557506	1.10385520876974	H03
53296.18188735	5513.56532901814	1.0981940543885	H03
53296.18293387	5520.55125680136	1.08398451082451	H03
53296.18399115	5521.4927047746205	1.07220464658572	H03
53296.18504576	5520.5949878798	1.09952688090246	H03
53296.18610177	5520.1483237269995	1.12183864421779	H03
53296.18715592	5513.462579864559	1.1129509524902	H03
53297.18510063	5518.013481314641	1.02857398011167	H03
53297.18615524	5520.70385502005	0.975984143802757	H03
53297.18720986	5517.14988069352	0.983742759599734	H03
53297.188272	5521.592738375461	0.960018980141047	H03
53297.18932489	5522.64026610818	0.955195311673716	H03
53297.19038228	5521.20306606922	0.936819128058908	H03
53297.19143377	5523.63503791382	0.976207273016069	H03
53297.19249545	5521.28039459663	1.02173190704585	H03
53297.19354474	5514.494135849661	0.981767274057886	H03
53297.19461417	5517.90942191303	0.965299984057788	H03
53298.19541039	5516.0336891016495	1.00941696200188	H03
53298.19690487	5520.0130374194505	0.96189912004464	H03
53298.19839112	5519.11443123719	0.96489836253285	H03
53298.19987321	5526.062492447059	1.0043746921369	H03
53298.2013597	5525.0089579741	0.9427609504036	H03
53298.20284295	5516.69704284429	0.942352460517667	H03
53298.20432573	5514.24307991934	0.945913836506742	H03
53298.20583907	5521.76179352598	0.945227612611843	H03
53298.20732093	5525.072205718499	0.904548696181829	H03
