JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
52680.792975190096	4286.316504	4.039290	C98
52680.80650608009	4284.190010	4.183259	C98
52777.62628915021	4272.684050	5.109591	C98
52784.54572982993	4269.243235	3.926037	C98
52788.53817756008	4252.187496	4.563750	C98
52789.52498386009	4267.766771	4.573244	C98
52789.538512839936	4257.861052	4.408655	C98
53096.64518467011	4264.395467	4.719418	C98
53461.733703180216	4244.398717	4.291371	C98
53803.7902276502	4251.489648	4.180887	C98
53826.67279702006	4248.104359	7.290466	C98
53909.49385175016	4232.279811	4.377487	C98
54158.71550785983	4235.39057	4.137216	C98
54278.47730494011	4240.033522	3.557175	C07
54809.82861154992	4160.283825	4.109036	C07
54857.797584599815	4160.130575	3.249376	C07
54861.86363313999	4151.706209	3.571772	C07
54897.71210487001	4140.886408	3.268036	C07
54948.47230206989	4139.472590	3.178081	C07
54985.559001349844	4118.626276	3.741062	C07
55204.80016029999	4380.225721	3.015932	C07
55205.80431052996	4376.093914	3.034578	C07
55235.86793451989	4385.924676	3.270586	C07
55263.79810371017	4384.342223	3.054868	C07
55309.648317410145	4388.531530	2.885945	C07
55388.50644392008	4383.474759	3.302207	C07
55403.48737460002	4387.567716	3.096276	C07
55404.46484806994	4381.302679	3.146900	C07
55406.46765269013	4387.987725	5.726128	C07
55579.838191779796	4358.243671	3.184907	C07
55643.744445940014	4369.390698	3.194945	C07
55669.59661043994	4354.725784	3.360028	C07
55704.58933189977	4363.007413	6.064338	C07
55763.470648829825	4353.964715	3.028697	C07
55958.76152942004	4336.783678	3.591599	C07
55983.62484672014	4339.131484	3.171817	C07
56022.66585141001	4334.776969	3.177581	C07
56071.540941069834	4345.338005	3.344210	C07
56075.63430732023	4340.455092	3.559879	C07
56110.51021031011	4327.607762	3.466909	C07
56115.50244014012	4328.291958	3.137144	C07
56123.45763937011	4330.254566	4.409879	C07
56354.69363322016	4345.549515	3.878740	C07
56357.84141601017	4326.625925	4.390888	C07
56373.59277456021	4339.147354	4.008769	C07
56377.67625901988	4322.206086	4.258083	C07
56403.74258869002	4332.429017	3.524372	C07
56646.80290932022	4323.877785	3.163722	C07
56743.65435625985	4318.751250	5.459703	C07
57067.706808019895	4326.971484	3.665555	C14	
57114.753146079835	4327.236451	4.342688	C14	
57143.61278461013	4330.895799	2.835170	C14	
57740.80491065979	4316.585035	4.394707	C14	
57888.63614663016	4312.589564	3.381151	C14	
58085.84963038005	4306.397549	3.365590	C14	
58112.8471016502	4300.203409	2.966668	C14
58123.79703827994	4303.671122	3.588153	C14	
58127.752398179844	4306.736622	3.503658	C14	
58136.748020689934	4305.703420	3.594186	C14	
58215.664443240035	4305.764570	3.656447	C14	
58286.56944133993	4297.937583	4.004652	C14	
58471.83487446979	4300.926824	3.550217	C14	
58495.828789560124	4291.922665	4.028203	C14	
58534.67675771983	4293.691151	3.828519	C14
54962.9578125	4177.38301345941	0.29784668664159	H03    
58623.07698456	4321.29992677477	0.6210404504443	H15 
58624.06486709	4323.7983027289	0.614654870622504	H15  
