JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50463.170532	-62.392648	1.094698	Hir94
50547.041979	-66.824052	1.162625	Hir94
50838.155046	-58.118143	1.083177	Hir94
50954.927072	-62.196527	1.611707	Hir94
51200.118542	-56.606370	1.244437	Hir94
51310.947894	-62.739236	1.342234	Hir94
51342.842697	-58.000749	1.440421	Hir94
51373.845752	-54.063974	1.705170	Hir94
51553.174931	-58.722490	1.341278	Hir94
51585.058889	-57.622674	1.253475	Hir94
51585.062211	-56.251009	1.074295	Hir94
51703.829317	-64.384492	1.528290	Hir94
51983.067211	-59.218408	1.260224	Hir94
52002.984468	-59.649179	1.534459	Hir94
52003.899780	-54.005151	1.594606	Hir94
52098.838889	-61.974870	1.496802	Hir94
52335.060926	-54.455705	1.606806	Hir94
52683.032083	-59.793268	1.414333	Hir94
52806.839028	-61.876863	1.401761	Hir94
53074.066076	-58.591081	1.416526	Hir94
53240.774907	-59.291619	1.307658	Hir04
53425.958519	-56.741327	1.095571	Hir04
55189.168023	-51.910210	1.339715	Hir04
55198.177045	-57.858668	1.252110	Hir04
55607.180741	-55.447984	1.349057	Hir04
56637.166368	-54.547319	1.239139	Hir04
57229.738007	-48.322216	1.392984	Hir04
57612.724090	-32.219934	1.585557	Hir04
57796.107041	-19.764130	1.579399	Hir04
57988.725442	-4.061648	1.439838	Hir04
57993.739204	1.146302	1.459851	Hir04
57999.730062	-4.512079	1.311267	Hir04
58000.720592	2.439873	1.601268	Hir04
58002.716376	-3.137703	1.382015	Hir04
58092.160216	14.181736	1.628734	Hir04
58114.157043	14.988655	1.482812	Hir04
58125.147447	11.990198	1.686766	Hir04
58141.153161	18.554466	1.559457	Hir04
58150.119419	18.930895	1.430189	Hir04
58151.092575	18.487893	1.582788	Hir04
58161.131304	14.017083	1.575427	Hir04
58194.990383	20.764779	1.646297	Hir04
58199.889569	15.132536	2.149324	Hir04
58199.934803	15.907585	1.764437	Hir04
58199.940439	17.886350	1.586934	Hir04
58199.941273	14.833442	1.782365	Hir04
58247.992214	19.137096	2.314738	Hir04
58247.994551	11.425376	2.029187	Hir04
58262.968641	13.252652	1.746716	Hir04
58266.969060	13.245693	1.708420	Hir04
58284.743481	13.307015	1.365440	Hir04
58294.750031	14.116891	1.469865	Hir04
58295.805898	15.207179	1.278000	Hir04
58298.814968	14.518460	1.605487	Hir04
58299.743009	7.636772	1.574127	Hir04
58300.742050	9.016614	1.444202	Hir04
58301.786364	10.472469	1.628692	Hir04
58303.811826	10.664436	1.576981	Hir04
58305.760743	14.293280	1.570782	Hir04
58307.848026	8.998902	1.755244	Hir04
58308.833223	11.668261	1.439493	Hir04
58336.739819	9.380956	1.659822	Hir04
58337.730334	8.732142	1.556368	Hir04
58344.726501	21.774751	1.698047	Hir04
58350.732319	18.094433	1.654455	Hir04
58364.717035	2.680509	1.768029	Hir04
58491.169882	3.553830	1.602823	Hir04
58509.092860	-5.096355	1.478208	Hir04
58533.106015	-5.669380	1.637994	Hir04
58560.050536	-4.194611	1.739040	Hir04
58567.051602	-10.602274	1.582906	Hir04
58569.921215	3.763585	1.679062	Hir04
58610.925706	-9.468378	1.597238	Hir04
58615.758959	-14.157898	1.897639	Hir04
58623.878938	-9.946527	1.184138	Hir04
58628.824588	-5.651684	1.292773	Hir04
