Bjd	vrad	svrad	group
52094.975579	52.921429	1.377739	Hir94
52096.020174	43.978909	1.394197	Hir94
52096.990255	53.160351	1.344688	Hir94
52128.062905	51.949399	1.771503	Hir94
52129.002106	51.095753	1.527695	Hir94
52242.864444	42.927838	1.376978	Hir94
52487.033356	52.614094	1.459786	Hir94
52515.901898	45.742260	1.629860	Hir94
52539.901620	47.574193	1.518167	Hir94
52601.685625	47.513066	1.615209	Hir94
52806.992338	44.742886	1.473853	Hir94
52850.050567	43.522892	1.435092	Hir94
53195.995359	43.912610	1.250925	Hir94
53602.979965	43.895090	1.115800	Hir04
57570.060457	4.060042	1.442689	Hir04
57571.062261	7.409096	1.486440	Hir04
57671.743741	7.235529	1.465264	Hir04
58020.861422	-4.101266	1.477540	Hir04
58023.820135	-5.154277	1.444943	Hir04
58028.898674	-5.942931	1.582836	Hir04
58293.989604	-1.633327	1.393118	Hir04
58296.050000	-1.773980	1.163875	Hir04
58302.128537	-3.083337	1.480498	Hir04
58309.027051	0.052132	1.286327	Hir04
58330.101206	-5.235551	1.610484	Hir04
58351.046156	-3.638604	1.498531	Hir04
58387.870512	-6.744134	1.422608	Hir04
58462.731696	-0.837591	1.507561	Hir04
58618.121705	-5.379964	1.479878	Hir04
58623.117693	0.045713	1.415500	Hir04
58645.055002	4.250956	1.322746	Hir04
58646.091356	-0.840202	1.310948	Hir04
58647.100128	6.320654	1.252196	Hir04
58648.127270	-3.547694	1.392765	Hir04
58649.116180	-3.438445	1.377083	Hir04
58649.117615	-1.630922	1.289770	Hir04
58649.119062	3.823090	1.275168	Hir04
58649.120532	8.683391	1.210247	Hir04
58651.096199	-3.304221	1.266177	Hir04
58652.097089	-6.171728	1.295973	Hir04
58659.119642	1.907356	1.316860	Hir04
58662.074821	-6.181402	1.357809	Hir04
58663.085977	0.914914	1.412592	Hir04
58680.005555	2.463563	1.384813	Hir04
58709.882454	-5.144472	1.536444	Hir04
58711.084148	-3.131652	1.700305	Hir04
58714.033872	-1.720530	1.357587	Hir04
58715.048586	-0.265834	1.313821	Hir04
58716.040510	-5.372957	1.397779	Hir04
58719.961270	-5.295294	1.472660	Hir04
58720.034120	-0.770270	1.534039	Hir04
58722.870863	-5.222544	1.484996	Hir04
58722.890389	-6.397795	1.501623	Hir04
58723.951207	-4.895643	1.315870	Hir04
58732.995111	-5.692748	1.691708	Hir04
58765.899366	-6.020428	1.481715	Hir04
58795.865579	-0.636775	1.636933	Hir04
58802.803747	0.132613	1.574931	Hir04
58819.795761	-0.082410	1.414546	Hir04
58856.758792	1.847521	1.624082	Hir04
58857.781362	-1.061475	1.731786	Hir04
53334	16953	4.0	ELODIE
54043	17024	2.4	SOPHIE
54047	17004	1.3	SOPHIE
54049	17030	1.6	SOPHIE
57351	16990	2.6	SOPHIE
